famille,nom_taxon,Genre,synonyme,remarque
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Pseudolycopodiella serpentina (Kunze) Holub,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Lycopodiella serpentina (Kunze) B.Øllg.,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Lycopodium serpentinum Kunze,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,Lycopodium serratum Thunb. ex Murray,
Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,Urostachys serratus (Thunb. ex Murray) Herter,
Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,Lycopodiella lateralis (R.Br.) B.Øllg.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,Lycopodium laterale R.Br.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Lycopodium clavatum L.,Lycopodium, ,
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lepidotis cernua (L.) P.Beauv.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lycopodiella cernua (L.) Pic.Serm.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lycopodium cernuum L.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Urostachys balansae Herter ex Ness.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium balansae var. pomperyanus Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium varium sensu ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Huperzia balansae (Herter) Holub,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium balansae Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Lycopodium carinatum Desv. ex Poir.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Huperzia carinata (Desv. ex Poir.) Trevis.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Urostachys carinatus (Desv. ex Poir.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Lycopodium verticillatum sensu ,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Huperzia ignambiense (Compton) Holub,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Lycopodium ignambiense Compton,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Huperzia ignambiensis (Compton) Holub,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus myrtifolius (G.Forst.) A.R.Field & Bostock,Phlegmariurus,Lycopodium myrtifolium G.Forst.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus neocaledonicus (Nessel) A.R.Field & Bostock,Phlegmariurus, ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium mirabile var. microbracteata Compton,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium phlegmaria var. mirabile Bonap.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Huperzia phlegmaria (L.) Rothm.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Urostachys phlegmaria (L.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium phlegmaria L.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium mirabile Willd.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Lycopodium phlegmarioides Gaudich.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Huperzia phlegmarioides (Gaudich.) Rothm.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Urostachys phlegmarioides (Gaudich.) Herter ex Nessel,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phyllanthus (Hook. & Arn.) R.D.Dixit,Phlegmariurus,Lycopodium phyllanthum Hook. & Arn.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phyllanthus (Hook. & Arn.) R.D.Dixit,Phlegmariurus,Huperzia phyllantha (Hook. & Arn.) Holub,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus pseudovaria (Browlie) Rouhan & A.R.Field,Phlegmariurus,Lycopodium pseudovarium Brownlie,Rouhan et al. (2021). Three new combinations and one lectotypification of fern and lycophyte taxa from the French overseas territories. Phytotaxa 497 (1): 054–056. https://doi.org/10.11646/phytotaxa.497.1.6
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus pseudovaria (Browlie) Rouhan & A.R.Field,Phlegmariurus,Huperzia pseudovaria (Brownlie) Holub,Rouhan et al. (2021). Three new combinations and one lectotypification of fern and lycophyte taxa from the French overseas territories. Phytotaxa 497 (1): 054–056. https://doi.org/10.11646/phytotaxa.497.1.6
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus schlechteri (E.Pritz.) A.R.Field & Bostock,Phlegmariurus, ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Urostachys squarrosus (G.Forst.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Lycopodium squarrosum var. laxum C.Chr.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Lycopodium squarrosum G.Forst.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
