"","NameScientific","TaxonRank","Origin","Phyla","Class","Order","Family","Genus"
"1","<i>?Agropogon</i> P.Fourn., <i>Monde Pl.</i> 36: 20 (1835)","genus","Exotic","Tracheophyta","Magnoliopsida","Poales","Gramineae","?Agropogon"
"2","<i>?Agropogon littoralis</i> (Sm.) C.E.Hubb. (1946)","species","Exotic","Tracheophyta","Magnoliopsida","Poales","Gramineae","?Agropogon"
"3","<i>?Amarcrinum</i> Coutts (1925)","genus","Exotic","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"4","<i>?Amarcrinum howardii</i> Coutts (1925)","species","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"5","<i>?Amarcrinum memoria-corsii</i> (Ragion.) H.E.Moore (1975)","species","Exotic","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"6","<i>?Carmispartium</i> M.D.Griffiths, <i>Plantsman</i> 13: 244 (1992)","genus","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Carmichaelia"
"7","<i>?Carpophyma</i> G.D.Rowley, <i>Name Succ.</i> 199 (1980)","genus","Non-endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"8","<i>?Carpophyma mutabilis</i> Heenan & Sykes, <i>New Zealand J. Bot.</i> 48: 226 (2010)","species","Endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"9","<i>?Carpophyma pallida</i> Sykes & Heenan, <i>New Zealand J. Bot.</i> 48: 227 (2010)","species","Endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"10","<i>?Celmearia</i> Heenan, <i>Hort. N.Z.</i> 4: 2-3 (1993)","genus","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","?Celmearia"
"11","<i>?Celmearia ruawahia</i> Heenan, <i>Hort. N.Z.</i> 4: 2-3 (1993)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","?Celmearia"
"12","<i>?Crinodonna</i> Stapf.","genus","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"13","<i>?Crinodonna memoria-corsii</i> Ragion.","species","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"14","<i>?Cupressocyparis</i> Dallim. (1938)","genus","","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus"
"15","<i>?Cuprocyparis</i> Farjon, <i>Novon</i> 12 (2002)","genus","","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus"
"16","<i>?Festulolium holmbergii</i> (D?rfl.) P.Fourn.","species","","Tracheophyta","Magnoliopsida","Poales","Gramineae","Lolium"
"17","<i>?Graptosedum</i> G.D.Rowley, <i>Name Succ.</i> 153 (1980)","genus","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptosedum"
"18","<i>?Graptosedum</i> 'Francesco Baldi'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptosedum"
"19","<i>?Graptoveria</i> G.D.Rowley, <i>Natl. Cact. Succ. J.</i> 13: 75 (1958)","genus","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
"20","<i>?Graptoveria</i> 'Acaulis'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
"21","<i>?Graptoveria</i> 'Titubans'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
