Family,Genus,Sp1,TaxStat,Accepted,Ecology
Asphodelaceae,Haworthia,maculata,Accepted,,Indigenous; Endemic
Menispermaceae,Antizoma,capensis,Synonym,Cissampelos capensis L.f.,Indigenous
Apocynaceae,Brachystelmaria,ramosissima,Synonym,Ceropegia ramosissima (Schltr.) Bruyns,Indigenous
Cactaceae,Rhipsalis,baccifera,Inclusive,,Indigenous
Myrtaceae,Eucalyptus,conferruminata,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Scrophulariaceae,Sutera,subspicata,Synonym,Chaenostoma subspicatum Benth.,Indigenous; Endemic
Colchicaceae,Bulbocodium,pudicum,Synonym,Romulea pudica (Sol. ex Ker Gawl.) Baker,Indigenous
Iridaceae,Sparaxis,fragrans,Accepted,,Indigenous; Endemic
Amaryllidaceae,Haemanthus,abyssinicus,Synonym,Scadoxus multiflorus (Martyn) Raf.,
Aizoaceae,Hereroa,teretifolia,Accepted,,Indigenous; Endemic
Fabaceae,Baphia,massaiensis,Inclusive,,Indigenous
Asteraceae,Edmondia,fasciculata,Accepted,,Indigenous; Endemic
Sapindaceae,Dodonaea,viscosa,Accepted,,Indigenous
Fabaceae,Chasmone,andrewsiana,Synonym,Argyrolobium tomentosum (Andrews) Druce,Present
Jungermanniaceae,Jungermannia,sp.,Genus level,,
Fabaceae,Aspalathus,rugosa,Accepted,,Indigenous; Endemic
Hyacinthaceae,Scilla,rigidifolia,Synonym,Schizocarphus nervosus (Burch.) Van der Merwe,Indigenous
Velloziaceae,Xerophyta,bakeri,Synonym,Xerophyta villosa (Baker) L.B.Sm. & Ayensu,
Bignoniaceae,Kigelia,africana,Synonym,Kigelia africana (Lam.) Benth. subsp. africana,
Campanulaceae,Prismatocarpus,tenerrimus,Accepted,,Indigenous; Endemic
Iridaceae,Freesia,laxa,Inclusive,,Indigenous
Aizoaceae,Sphalmanthus,quarziticus,Synonym,Mesembryanthemum quartziticola Klak,Indigenous
Rhamnaceae,Phylica,disticha,Accepted,,Indigenous; Endemic
Asteraceae,Oldenburgia,intermedia,Accepted,,Indigenous; Endemic
Colchicaceae,Colchicum,greuterocymbium,Accepted,,Indigenous; Endemic
Apocynaceae,Cryptolepis,transvaalensis,Synonym,Cryptolepis cryptolepioides (Schltr.) Bullock,Present
Acanthaceae,Crabbea,hirsuta,Accepted,,Indigenous
Ericaceae,Erica,sphaeroidea,Synonym,Erica hirta Thunb.,Indigenous
Restionaceae,Platycaulos,sp.,Genus level,,
Aizoaceae,Mesembryanthemum,suaveolens,Synonym,Mesembryanthemum lignescens (L.Bolus) Klak,Indigenous
Ericaceae,Erica,mariae,Synonym,Erica regia Bartl. subsp. mariae (Guthrie & Bolus) E.G.H.Oliv. & I.M.Oliv.,Indigenous
Crassulaceae,Crassula,pallens,Accepted,,Indigenous
Cyperaceae,Cyathocoma,ecklonii,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,tardissima,Accepted,,Indigenous; Endemic
Apocynaceae,Oncinotis,tenuiloba,Accepted,,Indigenous
Brassicaceae,Heliophila,seselifolia,Synonym,Heliophila seselifolia Schltr. subsp. nigellifolia (Schltr.) Al-Shehbaz,Indigenous; Endemic
