genus,endemism_status,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk
Abelmoschus,non-endemic,2,0,0,0,0,0,0
Abrodictyum,non-endemic,0,0,0,0,0,0,0
Abrotanella,non-endemic,0,0,0,0,0,0,0
Abrus,non-endemic,0,0,0,0,0,0,0
Abutilon,non-endemic,0,0,0,0,0,0,0
Acacia,non-endemic,195,2,12,8,10,0,0
Acaena,non-endemic,0,0,0,0,0,0,0
Acalypha,non-endemic,0,0,0,0,0,0,0
Acanthus,non-endemic,0,0,0,0,0,0,0
Achyranthes,non-endemic,0,0,0,0,0,0,0
Acmella,non-endemic,0,0,0,0,0,0,0
Acrachne,non-endemic,0,0,0,0,0,0,0
Acronychia,non-endemic,8,0,0,0,0,0,0
Acrostichum,non-endemic,0,0,0,0,0,0,0
Actephila,non-endemic,1,0,0,0,0,0,0
Actinoscirpus,non-endemic,1,0,0,0,0,0,0
Actinostachys,non-endemic,0,0,0,0,0,0,0
Adenanthera,non-endemic,2,0,0,0,0,0,0
Adenia,non-endemic,0,0,0,0,0,0,0
Adenosma,non-endemic,0,0,0,0,0,0,0
Adenostemma,non-endemic,0,0,0,0,0,0,0
Adiantum,non-endemic,1,0,0,0,0,0,0
Aegialitis,non-endemic,0,0,0,0,0,0,0
Aegiceras,non-endemic,0,0,0,0,0,0,0
Aerva,non-endemic,0,0,0,0,0,0,0
Aeschynomene,non-endemic,1,0,0,0,0,0,0
Afrohybanthus,non-endemic,0,0,0,0,0,0,0
Agathis,non-endemic,1,0,0,2,0,0,0
Aglaia,non-endemic,3,0,0,0,2,0,1
Agrostis,non-endemic,1,0,0,0,0,0,0
Aidia,non-endemic,0,0,0,0,0,0,0
Ailanthus,non-endemic,0,0,0,0,0,0,0
Alangium,non-endemic,1,0,0,0,0,0,0
Albizia,non-endemic,2,0,0,1,0,0,0
Alchemilla,non-endemic,0,0,0,0,0,0,0
Alchornea,non-endemic,2,0,0,0,0,0,0
Alectryon,non-endemic,9,0,1,1,0,1,0
Aleurites,non-endemic,2,0,0,0,0,0,0
Alisma,non-endemic,1,0,0,0,0,0,0
Allophylus,non-endemic,0,0,0,0,0,0,0
Alloteropsis,non-endemic,0,0,0,0,0,0,0
Alloxylon,non-endemic,1,0,0,0,1,0,0
Alocasia,non-endemic,0,0,0,0,0,0,0
Alphitonia,non-endemic,2,0,0,0,0,0,0
Alpinia,non-endemic,0,0,0,0,0,0,0
Alstonia,non-endemic,3,0,0,0,0,0,0
Alternanthera,non-endemic,1,0,0,0,0,0,0
Althenia,non-endemic,0,0,0,0,0,0,0
Alysicarpus,non-endemic,0,0,0,0,0,0,0
Alyxia,non-endemic,1,0,0,0,0,0,0
Amaracarpus,non-endemic,0,0,0,0,0,0,0
Amaranthus,non-endemic,0,0,0,0,0,0,0
Ammannia,non-endemic,1,0,0,0,0,0,0
Amomum,non-endemic,0,0,0,0,0,0,0
Amorphophallus,non-endemic,0,0,0,0,0,0,0
Ampelocissus,non-endemic,0,0,0,0,0,0,0
Ampelopteris,non-endemic,0,0,0,0,0,0,0
Amphibromus,non-endemic,0,0,0,0,0,0,0
Amphineuron,non-endemic,0,0,0,0,0,0,0
Amyema,non-endemic,0,0,0,0,0,0,0
Amylotheca,non-endemic,0,0,0,0,0,0,0
Anacolosa,non-endemic,1,0,0,0,0,0,0
Aneilema,non-endemic,0,0,0,0,0,0,0
Angiopteris,non-endemic,0,0,0,0,0,0,0
