genus,plant_growth_form,dispersal_syndrome,plant_height,seed_dry_mass
Acanthocarpus,shrub,NA,0.56875,32.103750000000005
Acidonia,shrub,NA,3,NA
Callitris,tree,barochory,13.649607843137256,9.40363286516854
Adenanthera,tree,zoochory,21.833333333333332,225.6084166625
Adenanthos,tree,zoochory,2.0282608695652176,13.49493925
Agastachys,tree,NA,8.25,1.2444
Agathis,tree,anemochory,50,43.94
Agrostocrinum,herb,NA,0.875,2.5448666666666666
Ailanthus,tree,anemochory,35.0667,66
Akania,tree,NA,13.4,NA
Alangium,tree,NA,17.47225,NA
Alania,herb,NA,0.2,0.0302
Albizia,tree,NA,24,115.17181034482759
Alectryon,tree,zoochory,10.282608695652174,42.24566555798817
Allocasuarina,tree,anemochory,4.408471074380166,2.2801060249042147
Allophylus,tree,NA,6,52.2372
Alloxylon,tree,NA,29.75,NA
Alpinia,herb,endozoochory,2.3862941176470587,15.090821175
Pleuranthodium,herb,NA,3.5,NA
Ammannia,herb subshrub,epizoochory,0.4,0.02904997222222222
Amomum,shrub,NA,3.75,NA
Anemone,herb,zoochory,0.26,NA
Anigozanthos,herb,NA,0.6489130434782608,0.8292070588235294
Anthobolus,shrub,NA,2.4,56.1384
Anthotium,herb,NA,0.24300000000000002,0.0724
Antiaris,tree,NA,26,4787.7028985
Apatophyllum,shrub,NA,0.4466,NA
Aphananthe,tree,NA,25.3334,44.1078212
Apodytes,tree,NA,19.333333333333332,145
Araucaria,tree,zoochory,45.833375000000004,3875.8715716666666
Archidendron,tree,zoochory,16.98990909090909,450
Archidendropsis,tree,NA,24,63.2324
Aristolochia,herb,barochory,14.25,4.8088
Arnhemia,tree,myrmecochory,0.3,15.3
Artabotrys,climber_woody,NA,NA,NA
Artocarpus,tree,NA,22,5898
Arytera,tree,endozoochory,15.26923076923077,235.0825
Astelia,herb,endozoochory,0.6055,1.679460606060606
Atalaya,tree,anemochory,9.646454545454546,68.59001152
Atherosperma,tree,anemochory,22.6,1.5825999999999998
Athertonia,tree,zoochory,22.666666666666668,1650
Athrotaxis,tree,anemochory,22,1.6493846153846154
Atkinsonia,shrub,NA,1.3333333333333333,223.8152
Australina,herb,zoochory,0.54,0.252
Austrobaileya,climber_woody,NA,40,364.7954
Austromatthaea,tree,NA,5.5,NA
Austromuellera,tree,NA,16.285714285714285,NA
Balanops,tree,NA,35,NA
Banksia,tree,barochory,3.8063909952606636,36.56563807511916
Barklya,tree,NA,18.666666666666668,NA
Bauhinia,tree,barochory,8.634904761904762,245.97131538461537
Beilschmiedia,tree,endozoochory,32.111111111111114,11234.0275
Bellendena,shrub,NA,0.775,24.801266666666667
Blandfordia,herb,barochory,0.5166666666666666,1.5163452705882352
Blepharocarya,tree,NA,26.5,14.4312
Boehmeria,shrub tree,NA,2.375,0.1044
Borya,tussock,NA,0.20148060925925926,0.218775
Brucea,tree,zoochory,8.666666666666666,NA
Bruguiera,tree,hydrochory,19.647058823529413,3276.6666666666665
Brunonia,herb shrub,undefined,0.252264462,2.140876923076923
Bubbia,tree,NA,8.6,NA
Buchanania,tree,zoochory,16.272727272727273,250.22666666666666
Bulbine,tussock,undefined,0.31351597758064514,1.86105740167364
Caesalpinia,shrub tree,hydrochory,7.3667,1758.53692025
Mezoneuron,shrub,barochory,NA,NA
Caesia,tussock,zoochory,0.4380485037419355,2.173063157894737
Campynema,herb,NA,0.275,0.0867
Cananga,tree,endozoochory,30,46.4
Canarium,tree,zoochory,29.733333333333334,638.996
Cansjera,climber_woody shrub,endozoochory,6,NA
Carallia,tree,zoochory,24,54
Cardiopteris,climber_woody,anemochory,NA,11
Cardwellia,tree,anemochory,32.2,587.364
Carnarvonia,tree,NA,30.8,NA
Cassia,tree,epizoochory,13.6795,51.229927272727274
Elaeodendron,tree,zoochory,8.666692307692308,506.373108975
Cassytha,tree,zoochory,NA,29.83947115769231
Castanospora,tree,endozoochory,30.714285714285715,2000
Casuarina,tree,anemochory hydrochory,16.97820512820513,2.063972809667674
Catalepidia,tree,NA,13,NA
Cathormion,tree,NA,13.6,272.8577
Celastrus,shrub,endozoochory,31,10.545544554455446
Celtis,tree,NA,20.133333333333333,NA
Cenarrhenes,tree,zoochory,10,235.2971
Ceriops,tree,hydrochory,7.67,2550
Chamaecrista,subshrub,barochory,0.5208333333333334,9.076480008333334
Chamaescilla,tussock,undefined,0.23124837042857144,0.846791
Choretrum,shrub tree,endozoochory,2.264466666666667,30.91222857142857
Cinnamomum,tree,zoochory,26.384615384615383,650
Cissampelos,climber_woody,zoochory,NA,10.5022
Citronella,tree,zoochory,27.92588888888889,310
Clematis,subshrub,anemochory,5.128772727272727,4.6021312
Combretum,shrub,NA,NA,NA
Conospermum,tree,barochory,1.1963129770992367,4.740592078723404
Conostylis,herb,NA,0.23785714285714285,0.7678918428571428
Coopernookia,subshrub,zoochory,1.0395625,3.1934333333333336
Cordyline,tree,endozoochory,3.1641153846153847,11.1492
Corynocarpus,tree,NA,15.272727272727273,8250
Corynotheca,shrub,zoochory,0.6791666666666667,6.54
Cossinia,tree,NA,7.5,NA
Cheilocostus,herb shrub,NA,4,NA
Crinum,herb,hydrochory,0.8166666666666667,NA
Crudia,tree,NA,20,NA
Cryptocarya,tree,zoochory,23.616664285714286,1807.3115454545455
Cupaniopsis,tree,zoochory,14.8,289.06631441111114
Curculigo,herb tussock,barochory,0.3,NA
Curcuma,herb,NA,0.475,NA
Uvaria,shrub,endozoochory,9.65,125.90466666666667
Cycas,tree,zoochory,4.578571428571428,10315.9
Cynometra,tree,hydrochory,17,6720
Dampiera,subshrub,zoochory,0.5651280326521739,3.3210636363636366
Dansiea,tree,NA,22.5,NA
Daphnandra,tree,NA,20.4,6.879993075
Darlingia,tree,anemochory,30.125,217
Dasypogon,shrub,NA,1.6875,43.12028
Dendrocnide,tree,endozoochory,16.058823529411764,0.5001401954954955
Dendrophthoe,tree,endozoochory,NA,48.45
Denhamia,tree,zoochory,8.322393442622952,21.57168888888889
Desmos,climber_woody shrub,NA,39,NA
Dianella,tussock,zoochory,0.8862043478260869,5.676807665957447
Diaspasis,herb shrub,NA,0.43333333333333335,NA
Dichopogon,herb,barochory,0.30338573507692307,0.46645899999999996
Arthropodium,tussock,undefined,1.6866165792619048,1.5064223555555556
Dichrostachys,shrub tree,NA,4,26.1513
Dictyoneura,tree,NA,9.666666666666666,NA
