genus,species_number,endemism_status
Abrophyllum,1,endemic
Acanthocarpus,7,endemic
Acanthocladium,1,endemic
Achnophora,1,endemic
Acidonia,1,endemic
Acomis,4,endemic
Acradenia,2,endemic
Acrophyllum,1,endemic
Acrotriche,18,endemic
Actinobole,4,endemic
Actinodium,1,endemic
Actites,1,endemic
Acunniana,1,endemic
Adelphacme,1,endemic
Adenanthos,31,endemic
Adriana,2,endemic
Aenictophyton,2,endemic
Agastachys,1,endemic
Agiortia,3,endemic
Agrostocrinum,2,endemic
Akania,1,endemic
Alania,1,endemic
Alexfloydia,1,endemic
Alexgeorgea,3,endemic
Allittia,2,endemic
Allopterigeron,1,endemic
Allosyncarpia,1,endemic
Almaleea,5,endemic
Aluta,5,endemic
Ammobium,2,endemic
Amorphospermum,1,endemic
Amperea,8,endemic
Amphibolis,2,endemic
Amphipogon,9,endemic
Anarthria,6,endemic
Andersonia,29,endemic
Androcalva,33,endemic
Anemocarpa,3,endemic
Angianthus,21,endemic
Angophora,10,endemic
Anisopogon,1,endemic
Anodopetalum,1,endemic
Anopterus,2,endemic
Anthocercis,10,endemic
Anthotium,4,endemic
Anthotroche,3,endemic
Anticoryne,3,endemic
Aotus,17,endemic
Apalochlamys,1,endemic
Apatophyllum,5,endemic
Aphanopetalum,2,endemic
Aphelia,6,endemic
Arabidella,7,endemic
Archontophoenix,6,endemic
Areocleome,1,endemic
Argentipallium,5,endemic
Argyroglottis,1,endemic
Arnhemia,1,endemic
Arnocrinum,3,endemic
Arthragrostis,4,endemic
Arthrostylis,1,endemic
Astartea,22,endemic
Asteridea,9,endemic
Asterolasia,17,endemic
Asterotrichion,1,endemic
Astonia,1,endemic
Astrebla,4,endemic
Astroloma,21,endemic
Astrotricha,19,endemic
Astus,4,endemic
Atherosperma,1,endemic
Athertonia,1,endemic
Athrotaxis,2,endemic
Atkinsonia,1,endemic
Auranticarpa,6,endemic
Austrobaileya,1,endemic
Austrobryonia,4,endemic
Austrochloris,1,endemic
Austrodolichos,1,endemic
Austromatthaea,1,endemic
Austromuellera,2,endemic
Babingtonia,10,endemic
Backhousia,13,endemic
Baileyoxylon,1,endemic
Balaustion,1,endemic
Balladonia,1,endemic
Ballantinia,1,endemic
Baloskion,8,endemic
Barklya,1,endemic
Barongia,1,endemic
Basedowia,1,endemic
Bauera,4,endemic
Baxteria,1,endemic
Beaufortia,22,endemic
Bedfordia,3,endemic
Bellendena,1,endemic
